# vpermwi128 sites: address, instruction word, the immediate
# this SLEIGH module decodes, and the destination/source it names.
# Produced by scripts/Ac6VpermwiSites.java. Read-only, no oracle.
# columns: address word ghidra_immediate vd vb
8211b0d0	0x19406a90	0x4d	vr10	vr13
8211b0d4	0x19046b50	0xad	vr8	vr13
8211b0e8	0x19426a90	0x4d	vr10	vr13
8211b0f4	0x19a86b10	0x8d	vr13	vr13
8211b108	0x19870210	0x00	vr12	vr0
8211c44c	0x19af6310	0x8c	vr13	vr12
8211c450	0x198f62d0	0x6c	vr12	vr12
8211c53c	0x19b76350	0xac	vr13	vr12
8211c554	0x199b6250	0x2c	vr12	vr12
8211c638	0x19a363d0	0xec	vr13	vr12
8211c640	0x199b6390	0xcc	vr12	vr12
82125c44	0x19870210	0x00	vr12	vr0
82125c4c	0x191b6b10	0x8d	vr8	vr13
82125c54	0x18e36ad0	0x6d	vr7	vr13
82125c60	0x19000290	0x40	vr8	vr0
82125c64	0x18040350	0xa0	vr0	vr0
82125c7c	0x19625a90	0x4b	vr11	vr11
82125c84	0x19a86310	0x8c	vr13	vr12
82125c90	0x19470210	0x00	vr10	vr0
82125dcc	0x19870210	0x00	vr12	vr0
82125dec	0x191b6b10	0x8d	vr8	vr13
82125df4	0x18e36ad0	0x6d	vr7	vr13
82125e00	0x19000290	0x40	vr8	vr0
82125e04	0x18040350	0xa0	vr0	vr0
82125e1c	0x19625a90	0x4b	vr11	vr11
82125e24	0x19a86310	0x8c	vr13	vr12
82125e34	0x19470210	0x00	vr10	vr0
821264b4	0x19870210	0x00	vr12	vr0
821264cc	0x191b6b10	0x8d	vr8	vr13
821264d4	0x18e36ad0	0x6d	vr7	vr13
821264e0	0x19000290	0x40	vr8	vr0
821264e4	0x18040350	0xa0	vr0	vr0
821264fc	0x19625a90	0x4b	vr11	vr11
82126504	0x19a86310	0x8c	vr13	vr12
82126518	0x19470210	0x00	vr10	vr0
82126e28	0x18173b50	0xa7	vr0	vr7
82126e2c	0x19bb3a50	0x27	vr13	vr7
82126f10	0x18036bd0	0xed	vr0	vr13
82126f14	0x19bb6b90	0xcd	vr13	vr13
821340a8	0x19870210	0x00	vr12	vr0
821340b4	0x191b6b10	0x8d	vr8	vr13
821340b8	0x18e36ad0	0x6d	vr7	vr13
821340c4	0x19000290	0x40	vr8	vr0
821340c8	0x18040350	0xa0	vr0	vr0
821340dc	0x19825a90	0x4b	vr12	vr11
821340e8	0x19a85b10	0x8b	vr13	vr11
821340f0	0x19470210	0x00	vr10	vr0
821345cc	0x19870210	0x00	vr12	vr0
821345d8	0x191b6b10	0x8d	vr8	vr13
821345dc	0x18e36ad0	0x6d	vr7	vr13
821345e8	0x19000290	0x40	vr8	vr0
821345ec	0x18040350	0xa0	vr0	vr0
82134600	0x19825a90	0x4b	vr12	vr11
8213460c	0x19a85b10	0x8b	vr13	vr11
82134614	0x19470210	0x00	vr10	vr0
82134d20	0x19a363d0	0xec	vr13	vr12
82134d28	0x199b6390	0xcc	vr12	vr12
82135110	0x19b76350	0xac	vr13	vr12
82135118	0x199b6250	0x2c	vr12	vr12
82135b0c	0x19870210	0x00	vr12	vr0
82135b24	0x191b6b10	0x8d	vr8	vr13
82135b28	0x18e36ad0	0x6d	vr7	vr13
82135b34	0x19000290	0x40	vr8	vr0
82135b38	0x18040350	0xa0	vr0	vr0
82135b4c	0x19825a90	0x4b	vr12	vr11
82135b58	0x19a85b10	0x8b	vr13	vr11
82135b64	0x19470210	0x00	vr10	vr0
8213a038	0x19b76350	0xac	vr13	vr12
8213a03c	0x199b6250	0x2c	vr12	vr12
8213a168	0x19a363d0	0xec	vr13	vr12
8213a170	0x199b6390	0xcc	vr12	vr12
8213ccf0	0x19870310	0x80	vr12	vr0
8213ccf8	0x180302d0	0x60	vr0	vr0
8213ccfc	0x1967e313	0x9c	vr11	vr124
8213cd00	0x19a3e2d3	0x7c	vr13	vr124
8213cd80	0x1963fad3	0x7f	vr11	vr127
8213cd88	0x1947fb13	0x9f	vr10	vr127
8213e0c4	0x19b76350	0xac	vr13	vr12
8213e0cc	0x199b6250	0x2c	vr12	vr12
8213e1ac	0x18036bd0	0xed	vr0	vr13
8213e1b0	0x199b6b90	0xcd	vr12	vr13
8213e2d4	0x1bf7035c	0xa0	vr127	vr0
8213e2d8	0x1bdb025c	0x20	vr126	vr0
8213e374	0x19a35bd0	0xeb	vr13	vr11
8213e37c	0x199b5b90	0xcb	vr12	vr11
8213e45c	0x19af3b10	0x87	vr13	vr7
8213e460	0x198f3ad0	0x67	vr12	vr7
82143bf0	0x19b76350	0xac	vr13	vr12
82143bf8	0x199b6250	0x2c	vr12	vr12
82143ce4	0x180363d0	0xec	vr0	vr12
82143cf0	0x199b6390	0xcc	vr12	vr12
82143e7c	0x19b76350	0xac	vr13	vr12
82143e88	0x199b6250	0x2c	vr12	vr12
82143f78	0x19a363d0	0xec	vr13	vr12
82143f80	0x199b6390	0xcc	vr12	vr12
82144cf8	0x19af6310	0x8c	vr13	vr12
82144d00	0x198f62d0	0x6c	vr12	vr12
82144df4	0x19b76350	0xac	vr13	vr12
82144e00	0x199b6250	0x2c	vr12	vr12
82144ecc	0x19a363d0	0xec	vr13	vr12
82144ed0	0x199b6390	0xcc	vr12	vr12
821485f4	0x1be303dc	0xe0	vr127	vr0
821485f8	0x1bbb039c	0xc0	vr125	vr0
8214eda0	0x19a363d0	0xec	vr13	vr12
8214eda4	0x199b6390	0xcc	vr12	vr12
8214f70c	0x192352d0	0x6a	vr9	vr10
8214f760	0x19875310	0x8a	vr12	vr10
8214f768	0x19a70310	0x80	vr13	vr0
8214f76c	0x180302d0	0x60	vr0	vr0
8214f7f8	0x1963f2d3	0x7e	vr11	vr126
8214f800	0x1947f313	0x9e	vr10	vr126
8214ffec	0x19b70350	0xa0	vr13	vr0
8214fff0	0x181b0250	0x20	vr0	vr0
821501d0	0x19b70350	0xa0	vr13	vr0
