index	group	archive	codec	source_offset	stored_size	expanded_size	source_end
64	0x00020000	DATA00.PAC	mode1-xor-raw	198246400	4592	4592	198250992
65	0x00020000	DATA00.PAC	mode1-xor-raw	198279168	4592	4592	198283760
66	0x00020000	DATA00.PAC	mode1-xor-raw	198311936	4592	4592	198316528
67	0x00020000	DATA00.PAC	mode1-xor-raw	198344704	4592	4592	198349296
68	0x00020000	DATA00.PAC	mode1-xor-raw	198377472	4592	4592	198382064
69	0x00020000	DATA00.PAC	mode1-xor-raw	198410240	4592	4592	198414832
70	0x00020000	DATA00.PAC	mode1-xor-raw	198443008	4592	4592	198447600
71	0x00020000	DATA00.PAC	mode1-xor-raw	198475776	4592	4592	198480368
72	0x00020000	DATA00.PAC	mode1-xor-raw	198508544	4592	4592	198513136
73	0x00020000	DATA00.PAC	mode1-xor-raw	198541312	4592	4592	198545904
74	0x00020000	DATA00.PAC	mode1-xor-raw	198574080	4592	4592	198578672
75	0x00020000	DATA00.PAC	mode1-xor-raw	198606848	4592	4592	198611440
76	0x00020000	DATA00.PAC	mode1-xor-raw	198639616	4592	4592	198644208
77	0x00020000	DATA00.PAC	mode1-xor-raw	198672384	4592	4592	198676976
78	0x00020000	DATA00.PAC	mode1-xor-raw	198705152	4592	4592	198709744
79	0x00020000	DATA00.PAC	mode1-xor-raw	198737920	4592	4592	198742512
80	0x00020000	DATA00.PAC	mode1-xor-raw	198770688	4592	4592	198775280
81	0x00020000	DATA00.PAC	mode1-xor-raw	198803456	4592	4592	198808048
82	0x00020000	DATA00.PAC	mode1-xor-raw	198836224	4592	4592	198840816
83	0x00020000	DATA00.PAC	mode1-xor-raw	198868992	4592	4592	198873584
84	0x00020000	DATA00.PAC	mode1-xor-raw	198901760	4592	4592	198906352
85	0x00020000	DATA00.PAC	mode1-xor-raw	198934528	4592	4592	198939120
86	0x00020000	DATA00.PAC	mode1-xor-raw	198967296	4592	4592	198971888
87	0x00020000	DATA00.PAC	mode1-xor-raw	199000064	4592	4592	199004656
88	0x00020000	DATA00.PAC	mode1-xor-raw	199032832	4592	4592	199037424
89	0x00020000	DATA00.PAC	mode1-xor-raw	199065600	4592	4592	199070192
90	0x00020000	DATA00.PAC	mode1-xor-raw	199098368	4592	4592	199102960
91	0x00020000	DATA00.PAC	mode1-xor-raw	199131136	4592	4592	199135728
92	0x00020000	DATA00.PAC	mode1-xor-raw	199163904	4592	4592	199168496
93	0x00020000	DATA00.PAC	mode1-xor-raw	199196672	4592	4592	199201264
94	0x00020000	DATA00.PAC	mode1-xor-raw	199229440	4592	4592	199234032
95	0x00020000	DATA00.PAC	mode1-xor-raw	199262208	4592	4592	199266800
96	0x00020000	DATA00.PAC	mode1-xor-raw	199294976	4592	4592	199299568
97	0x00020000	DATA00.PAC	mode1-xor-raw	199327744	4592	4592	199332336
98	0x00020000	DATA00.PAC	mode1-xor-raw	199360512	4592	4592	199365104
99	0x00020000	DATA00.PAC	mode1-xor-raw	199393280	4592	4592	199397872
