angle	retail	port	verdict
0.0	1.0	1.0	ok
-0.0	1.0	1.0	ok
1.5707963267948966	6.123031769111886e-17	6.123031769111886e-17	ok
-1.5707963267948966	6.123031769111886e-17	6.123031769111886e-17	ok
3.141592653589793	-1.0	-1.0	ok
-3.141592653589793	-1.0	-1.0	ok
1.0	0.5403023058681398	0.5403023058681398	ok
-1.0	0.5403023058681398	0.5403023058681398	ok
0.7853981633974483	0.7071067811865476	0.7071067811865476	ok
4.71238898038469	-1.836909530733566e-16	-1.836909530733566e-16	ok
6.283185307179586	1.0	1.0	ok
10.0	-0.8390715290764524	-0.8390715290764524	ok
-10.0	-0.8390715290764524	-0.8390715290764524	ok
1000.0	0.5623790762907029	0.5623790762907029	ok
219999999.0	nan	nan	ok
220000001.0	nan	nan	ok
1e-300	0.9999999999999999	0.9999999999999999	ok
5e-324	0.9999999999999999	0.9999999999999999	ok
0.0	1.0	1.0	ok
0.009879222181099979	0.9999512008814457	0.9999512008814457	ok
0.019758444362199958	0.9998048082884907	0.9998048082884907	ok
0.029637666543299936	0.9995608365087942	0.9995608365087942	ok
0.039516888724399915	0.9992193093535718	0.9992193093535718	ok
0.04939611090549989	0.9987802601552715	0.9987802601552715	ok
0.05927533308659987	0.9982437317643215	0.9982437317643215	ok
0.06915455526769985	0.9976097765449463	0.9976097765449463	ok
0.07903377744879983	0.9968784563700582	0.9968784563700582	ok
0.0889129996298998	0.9960498426152169	0.9960498426152169	ok
0.09879222181099978	0.9951240161516641	0.9951240161516641	ok
0.10867144399209976	0.9941010673384305	0.9941010673384305	ok
0.11855066617319975	0.9929810960135169	0.9929810960135169	ok
0.12842988835429972	0.9917642114841504	0.9917642114841504	ok
0.1383091105353997	0.9904505325161156	0.9904505325161156	ok
0.14818833271649967	0.989040187322164	0.989040187322164	ok
0.15806755489759966	0.9875333135495002	0.9875333135495002	ok
0.16794677707869965	0.9859300582663482	0.9859300582663482	ok
0.1778259992597996	0.9842305779475966	0.9842305779475966	ok
0.18770522144089957	0.9824350384595294	0.9824350384595294	ok
0.19758444362199956	0.9805436150436349	0.9805436150436349	ok
0.20746366580309955	0.9785564922995039	0.9785564922995039	ok
0.2173428879841995	0.9764738641668135	0.9764738641668135	ok
0.2272221101652995	0.9742959339063978	0.9742959339063978	ok
0.2371013323463995	0.9720229140804107	0.9720229140804107	ok
0.24698055452749948	0.9696550265315803	0.9696550265315803	ok
0.25685977670859944	0.9671925023615571	0.9671925023615571	ok
0.26673899888969943	0.9646355819083585	0.9646355819083585	ok
0.2766182210707994	0.9619845147229138	0.9619845147229138	ok
0.2864974432518994	0.9592395595447062	0.9592395595447062	ok
0.29637666543299934	0.9564009842765223	0.9564009842765223	ok
0.30625588761409933	0.9534690659583043	0.9534690659583043	ok
0.3161351097951993	0.9504440907401112	0.9504440907401112	ok
0.3260143319762993	0.9473263538541913	0.9473263538541913	ok
0.3358935541573993	0.944116159586169	0.944116159586169	ok
0.34577277633849923	0.9408138212453453	0.9408138212453453	ok
0.3556519985195992	0.9374196611341209	0.9374196611341209	ok
0.3655312207006992	0.9339340105165388	0.9339340105165388	ok
0.37541044288179914	0.9303572095859546	0.9303572095859546	ok
0.38528966506289913	0.9266896074318335	0.9266896074318335	ok
0.3951688872439991	0.9229315620056803	0.9229315620056803	ok
0.40504810942509906	0.9190834400861034	0.9190834400861034	ok
0.4149273316061991	0.9151456172430185	0.9151456172430185	ok
0.42480655378729903	0.9111184778009931	0.9111184778009931	ok
0.434685775968399	0.9070024148017372	0.9070024148017372	ok
